datetime,road_type,all_motor_vehicles,hour,day_of_week,month,is_weekend,year,hour_sin,hour_cos,dow_sin,dow_cos,lag_1,lag_2,lag_3,lag_24,rolling_mean_3,rolling_std_3,road_type_encoded
2003-03-20 11:00:00+00:00,Major,834,11,3,3,0,2003,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,857.0,1140.0,1487.0,1622.0,1161.3333333333333,315.5413337955303,1
2003-03-20 11:00:00+00:00,Minor,127,11,3,3,0,2003,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,110.0,204.0,203.0,422.0,172.33333333333334,53.98456569552795,0
2003-03-20 12:00:00+00:00,Major,894,12,3,3,0,2003,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,834.0,857.0,1140.0,1842.0,943.6666666666666,170.41811327868888,1
2003-03-20 12:00:00+00:00,Minor,150,12,3,3,0,2003,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,127.0,110.0,204.0,444.0,147.0,50.089919145487606,0
2003-03-20 13:00:00+00:00,Minor,137,13,3,3,0,2003,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,150.0,127.0,110.0,513.0,129.0,20.074859899922533,0
2003-03-20 13:00:00+00:00,Major,964,13,3,3,0,2003,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,894.0,834.0,857.0,1919.0,861.6666666666666,30.270998223880945,1
2003-03-20 14:00:00+00:00,Major,935,14,3,3,0,2003,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,964.0,894.0,834.0,1857.0,897.3333333333334,65.0640709875217,1
2003-03-20 14:00:00+00:00,Minor,156,14,3,3,0,2003,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,137.0,150.0,127.0,551.0,138.0,11.532562594735895,0
2003-03-20 15:00:00+00:00,Major,1229,15,3,3,0,2003,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,935.0,964.0,894.0,2061.0,931.0,35.17101079205773,1
2003-03-20 15:00:00+00:00,Minor,163,15,3,3,0,2003,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,156.0,137.0,150.0,556.0,147.66666666666666,9.712534856298705,0
2003-03-20 16:00:00+00:00,Major,1481,16,3,3,0,2003,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,1229.0,935.0,964.0,2128.0,1042.6666666666667,162.01954614633829,1
2003-03-20 16:00:00+00:00,Minor,152,16,3,3,0,2003,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,163.0,156.0,137.0,942.0,152.0,13.45362404712857,0
