datetime,all_motor_vehicles,hour,day_of_week,month,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,lag_1,lag_2,lag_3,lag_24,rolling_mean_3,rolling_std_3
2017-09-12 11:00:00+00:00,116,11,1,9,0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,117.0,147.0,245.0,65.0,169.66666666666666,66.9427616211727
2017-09-12 12:00:00+00:00,129,12,1,9,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,116.0,117.0,147.0,58.0,126.66666666666667,17.61628035284895
2017-09-12 13:00:00+00:00,112,13,1,9,0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,129.0,116.0,117.0,63.0,120.66666666666667,7.234178147537823
2017-09-12 14:00:00+00:00,140,14,1,9,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,112.0,129.0,116.0,70.0,119.0,8.88819442502356
2017-09-12 15:00:00+00:00,178,15,1,9,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,140.0,112.0,129.0,111.0,127.0,14.106735984515717
2017-09-12 16:00:00+00:00,172,16,1,9,0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,178.0,140.0,112.0,97.0,143.33333333333334,33.12602199887239
2017-09-12 17:00:00+00:00,225,17,1,9,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,172.0,178.0,140.0,95.0,163.33333333333334,20.428737931387364
2017-09-12 18:00:00+00:00,202,18,1,9,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,225.0,172.0,178.0,66.0,191.66666666666666,29.02297940371792
2017-09-14 07:00:00+00:00,105,7,3,9,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,202.0,225.0,172.0,9447.0,199.66666666666666,26.57693235624543
2017-09-14 08:00:00+00:00,198,8,3,9,0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,105.0,202.0,225.0,9275.0,177.33333333333334,63.689350235883026
2017-09-14 09:00:00+00:00,112,9,3,9,0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,198.0,105.0,202.0,7723.0,168.33333333333334,54.88472768875861
2017-09-14 10:00:00+00:00,141,10,3,9,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,112.0,198.0,105.0,6993.0,138.33333333333334,51.7912476531498
2017-09-14 11:00:00+00:00,126,11,3,9,0,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,141.0,112.0,198.0,7829.0,150.33333333333334,43.75309513016892
2017-09-14 12:00:00+00:00,127,12,3,9,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,126.0,141.0,112.0,8144.0,126.33333333333333,14.50287328325594
2017-09-14 13:00:00+00:00,148,13,3,9,0,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,127.0,126.0,141.0,8202.0,131.33333333333334,8.38649709175772
2017-09-14 14:00:00+00:00,166,14,3,9,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,148.0,127.0,126.0,9100.0,133.66666666666666,12.423096774556875
2017-09-14 15:00:00+00:00,231,15,3,9,0,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,166.0,148.0,127.0,9302.0,147.0,19.519221299436023
2017-09-14 16:00:00+00:00,137,16,3,9,0,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,231.0,166.0,148.0,9809.0,181.66666666666666,43.661577313112154
2017-09-14 17:00:00+00:00,179,17,3,9,0,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,137.0,231.0,166.0,8756.0,178.0,48.13522618764373
2017-09-14 18:00:00+00:00,187,18,3,9,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,179.0,137.0,231.0,8073.0,182.33333333333334,47.08856903186647
2017-09-15 07:00:00+00:00,7364,7,4,9,0,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,187.0,179.0,137.0,239.0,167.66666666666666,26.85764944050764
2017-09-15 08:00:00+00:00,7330,8,4,9,0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,7364.0,187.0,179.0,245.0,2576.6666666666665,4145.954212643142
2017-09-15 09:00:00+00:00,6183,9,4,9,0,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,7330.0,7364.0,187.0,147.0,4960.333333333333,4133.862882744583
2017-09-15 10:00:00+00:00,5406,10,4,9,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,6183.0,7330.0,7364.0,117.0,6959.0,672.2506972848565
2017-09-15 11:00:00+00:00,5705,11,4,9,0,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,5406.0,6183.0,7330.0,116.0,6306.333333333333,967.9113251395119
2017-09-15 12:00:00+00:00,6157,12,4,9,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,5705.0,5406.0,6183.0,129.0,5764.666666666667,391.9213356444631
2017-09-15 13:00:00+00:00,6372,13,4,9,0,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,6157.0,5705.0,5406.0,112.0,5756.0,378.088613951818
2017-09-15 14:00:00+00:00,6880,14,4,9,0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,6372.0,6157.0,5705.0,140.0,6078.0,340.4452966336865
2017-09-15 15:00:00+00:00,7268,15,4,9,0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,6880.0,6372.0,6157.0,178.0,6469.666666666667,371.26315913826176
2017-09-15 16:00:00+00:00,7194,16,4,9,0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,7268.0,6880.0,6372.0,172.0,6840.0,449.33728979462586
2017-09-15 17:00:00+00:00,5679,17,4,9,0,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,7194.0,7268.0,6880.0,225.0,7114.0,205.99999999993378
2017-09-15 18:00:00+00:00,6498,18,4,9,0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,5679.0,7194.0,7268.0,202.0,6713.666666666667,896.8112027251423
2017-09-18 07:00:00+00:00,152,7,0,9,0,0.9659258262890683,-0.25881904510252063,0.0,1.0,6498.0,5679.0,7194.0,105.0,6457.0,758.331721610002
2017-09-18 08:00:00+00:00,282,8,0,9,0,0.8660254037844387,-0.4999999999999998,0.0,1.0,152.0,6498.0,5679.0,198.0,4109.666666666667,3451.816092049717
2017-09-18 09:00:00+00:00,205,9,0,9,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,282.0,152.0,6498.0,112.0,2310.6666666666665,3626.9195377528613
2017-09-18 10:00:00+00:00,167,10,0,9,0,0.49999999999999994,-0.8660254037844387,0.0,1.0,205.0,282.0,152.0,141.0,213.0,65.36818798275743
2017-09-18 11:00:00+00:00,224,11,0,9,0,0.258819045102521,-0.9659258262890682,0.0,1.0,167.0,205.0,282.0,126.0,218.0,58.5918083024324
2017-09-18 12:00:00+00:00,194,12,0,9,0,1.2246467991473532e-16,-1.0,0.0,1.0,224.0,167.0,205.0,127.0,198.66666666666666,29.02297940396217
2017-09-18 13:00:00+00:00,209,13,0,9,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0,194.0,224.0,167.0,148.0,195.0,28.513154861389374
2017-09-18 14:00:00+00:00,211,14,0,9,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0,209.0,194.0,224.0,166.0,209.0,15.000000004973856
2017-09-18 15:00:00+00:00,266,15,0,9,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0,211.0,209.0,194.0,231.0,204.66666666666666,9.291573251213139
2017-09-18 16:00:00+00:00,275,16,0,9,0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,266.0,211.0,209.0,137.0,228.66666666666666,32.34707611952042
2017-09-18 17:00:00+00:00,312,17,0,9,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0,275.0,266.0,211.0,179.0,250.66666666666666,34.64582707169058
2017-09-18 18:00:00+00:00,197,18,0,9,0,-1.0,-1.8369701987210297e-16,0.0,1.0,312.0,275.0,266.0,187.0,284.3333333333333,24.378952673989716
2017-09-19 07:00:00+00:00,633,7,1,9,0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,197.0,312.0,275.0,7364.0,261.3333333333333,58.705479586502115
2017-09-19 08:00:00+00:00,1014,8,1,9,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,633.0,197.0,312.0,7330.0,380.6666666666667,225.96533657505563
2017-09-19 09:00:00+00:00,640,9,1,9,0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,1014.0,633.0,197.0,6183.0,614.6666666666666,408.80843109391986
